date,product_id,product_name,units_sold
2025-08-28,P01,Beras Premium 5kg,17
2025-08-28,P02,Minyak Goreng 1L,16
2025-08-28,P03,Gula Pasir 1kg,11
2025-08-28,P04,Telur Ayam 1 Papan,20
2025-08-28,P05,Mie Instan 1 Dus,27
2025-08-29,P01,Beras Premium 5kg,18
2025-08-29,P02,Minyak Goreng 1L,14
2025-08-29,P03,Gula Pasir 1kg,12
2025-08-29,P04,Telur Ayam 1 Papan,20
2025-08-29,P05,Mie Instan 1 Dus,24
2025-08-30,P01,Beras Premium 5kg,23
2025-08-30,P02,Minyak Goreng 1L,17
2025-08-30,P03,Gula Pasir 1kg,13
2025-08-30,P04,Telur Ayam 1 Papan,23
2025-08-30,P05,Mie Instan 1 Dus,27
2025-08-31,P01,Beras Premium 5kg,20
2025-08-31,P02,Minyak Goreng 1L,17
2025-08-31,P03,Gula Pasir 1kg,15
2025-08-31,P04,Telur Ayam 1 Papan,21
2025-08-31,P05,Mie Instan 1 Dus,27
2025-09-01,P01,Beras Premium 5kg,17
2025-09-01,P02,Minyak Goreng 1L,17
2025-09-01,P03,Gula Pasir 1kg,13
2025-09-01,P04,Telur Ayam 1 Papan,19
2025-09-01,P05,Mie Instan 1 Dus,26
2025-09-02,P01,Beras Premium 5kg,16
2025-09-02,P02,Minyak Goreng 1L,14
2025-09-02,P03,Gula Pasir 1kg,12
2025-09-02,P04,Telur Ayam 1 Papan,20
2025-09-02,P05,Mie Instan 1 Dus,28
2025-09-03,P01,Beras Premium 5kg,19
2025-09-03,P02,Minyak Goreng 1L,15
2025-09-03,P03,Gula Pasir 1kg,13
2025-09-03,P04,Telur Ayam 1 Papan,20
2025-09-03,P05,Mie Instan 1 Dus,27
2025-09-04,P01,Beras Premium 5kg,19
2025-09-04,P02,Minyak Goreng 1L,14
2025-09-04,P03,Gula Pasir 1kg,13
2025-09-04,P04,Telur Ayam 1 Papan,20
2025-09-04,P05,Mie Instan 1 Dus,25
2025-09-05,P01,Beras Premium 5kg,18
2025-09-05,P02,Minyak Goreng 1L,14
2025-09-05,P03,Gula Pasir 1kg,12
2025-09-05,P04,Telur Ayam 1 Papan,18
2025-09-05,P05,Mie Instan 1 Dus,26
2025-09-06,P01,Beras Premium 5kg,23
2025-09-06,P02,Minyak Goreng 1L,19
2025-09-06,P03,Gula Pasir 1kg,14
2025-09-06,P04,Telur Ayam 1 Papan,23
2025-09-06,P05,Mie Instan 1 Dus,30
2025-09-07,P01,Beras Premium 5kg,19
2025-09-07,P02,Minyak Goreng 1L,15
2025-09-07,P03,Gula Pasir 1kg,15
2025-09-07,P04,Telur Ayam 1 Papan,22
2025-09-07,P05,Mie Instan 1 Dus,30
2025-09-08,P01,Beras Premium 5kg,18
2025-09-08,P02,Minyak Goreng 1L,15
2025-09-08,P03,Gula Pasir 1kg,13
2025-09-08,P04,Telur Ayam 1 Papan,19
2025-09-08,P05,Mie Instan 1 Dus,27
2025-09-09,P01,Beras Premium 5kg,20
2025-09-09,P02,Minyak Goreng 1L,14
2025-09-09,P03,Gula Pasir 1kg,13
2025-09-09,P04,Telur Ayam 1 Papan,18
2025-09-09,P05,Mie Instan 1 Dus,25
2025-09-10,P01,Beras Premium 5kg,18
2025-09-10,P02,Minyak Goreng 1L,16
2025-09-10,P03,Gula Pasir 1kg,11
2025-09-10,P04,Telur Ayam 1 Papan,20
2025-09-10,P05,Mie Instan 1 Dus,24
2025-09-11,P01,Beras Premium 5kg,20
2025-09-11,P02,Minyak Goreng 1L,14
2025-09-11,P03,Gula Pasir 1kg,11
2025-09-11,P04,Telur Ayam 1 Papan,22
2025-09-11,P05,Mie Instan 1 Dus,24
2025-09-12,P01,Beras Premium 5kg,20
2025-09-12,P02,Minyak Goreng 1L,13
2025-09-12,P03,Gula Pasir 1kg,12
2025-09-12,P04,Telur Ayam 1 Papan,18
2025-09-12,P05,Mie Instan 1 Dus,26
2025-09-13,P01,Beras Premium 5kg,23
2025-09-13,P02,Minyak Goreng 1L,17
2025-09-13,P03,Gula Pasir 1kg,14
2025-09-13,P04,Telur Ayam 1 Papan,22
2025-09-13,P05,Mie Instan 1 Dus,29
2025-09-14,P01,Beras Premium 5kg,21
2025-09-14,P02,Minyak Goreng 1L,16
2025-09-14,P03,Gula Pasir 1kg,15
2025-09-14,P04,Telur Ayam 1 Papan,23
2025-09-14,P05,Mie Instan 1 Dus,32
2025-09-15,P01,Beras Premium 5kg,17
2025-09-15,P02,Minyak Goreng 1L,17
2025-09-15,P03,Gula Pasir 1kg,11
2025-09-15,P04,Telur Ayam 1 Papan,18
2025-09-15,P05,Mie Instan 1 Dus,26
2025-09-16,P01,Beras Premium 5kg,19
2025-09-16,P02,Minyak Goreng 1L,15
2025-09-16,P03,Gula Pasir 1kg,11
2025-09-16,P04,Telur Ayam 1 Papan,23
2025-09-16,P05,Mie Instan 1 Dus,23
2025-09-17,P01,Beras Premium 5kg,20
2025-09-17,P02,Minyak Goreng 1L,17
2025-09-17,P03,Gula Pasir 1kg,11
2025-09-17,P04,Telur Ayam 1 Papan,22
2025-09-17,P05,Mie Instan 1 Dus,25
2025-09-18,P01,Beras Premium 5kg,20
2025-09-18,P02,Minyak Goreng 1L,17
2025-09-18,P03,Gula Pasir 1kg,13
2025-09-18,P04,Telur Ayam 1 Papan,19
2025-09-18,P05,Mie Instan 1 Dus,26
2025-09-19,P01,Beras Premium 5kg,20
2025-09-19,P02,Minyak Goreng 1L,14
2025-09-19,P03,Gula Pasir 1kg,12
2025-09-19,P04,Telur Ayam 1 Papan,21
2025-09-19,P05,Mie Instan 1 Dus,23
2025-09-20,P01,Beras Premium 5kg,20
2025-09-20,P02,Minyak Goreng 1L,16
2025-09-20,P03,Gula Pasir 1kg,14
2025-09-20,P04,Telur Ayam 1 Papan,23
2025-09-20,P05,Mie Instan 1 Dus,30
2025-09-21,P01,Beras Premium 5kg,21
2025-09-21,P02,Minyak Goreng 1L,16
2025-09-21,P03,Gula Pasir 1kg,12
2025-09-21,P04,Telur Ayam 1 Papan,23
2025-09-21,P05,Mie Instan 1 Dus,31
2025-09-22,P01,Beras Premium 5kg,20
2025-09-22,P02,Minyak Goreng 1L,16
2025-09-22,P03,Gula Pasir 1kg,12
2025-09-22,P04,Telur Ayam 1 Papan,22
2025-09-22,P05,Mie Instan 1 Dus,25
2025-09-23,P01,Beras Premium 5kg,17
2025-09-23,P02,Minyak Goreng 1L,14
2025-09-23,P03,Gula Pasir 1kg,12
2025-09-23,P04,Telur Ayam 1 Papan,20
2025-09-23,P05,Mie Instan 1 Dus,24
2025-09-24,P01,Beras Premium 5kg,17
2025-09-24,P02,Minyak Goreng 1L,17
2025-09-24,P03,Gula Pasir 1kg,11
2025-09-24,P04,Telur Ayam 1 Papan,22
2025-09-24,P05,Mie Instan 1 Dus,25
2025-09-25,P01,Beras Premium 5kg,19
2025-09-25,P02,Minyak Goreng 1L,14
2025-09-25,P03,Gula Pasir 1kg,12
2025-09-25,P04,Telur Ayam 1 Papan,21
2025-09-25,P05,Mie Instan 1 Dus,25
2025-09-26,P01,Beras Premium 5kg,18
2025-09-26,P02,Minyak Goreng 1L,15
2025-09-26,P03,Gula Pasir 1kg,11
2025-09-26,P04,Telur Ayam 1 Papan,19
2025-09-26,P05,Mie Instan 1 Dus,24
2025-09-27,P01,Beras Premium 5kg,19
2025-09-27,P02,Minyak Goreng 1L,19
2025-09-27,P03,Gula Pasir 1kg,13
2025-09-27,P04,Telur Ayam 1 Papan,26
2025-09-27,P05,Mie Instan 1 Dus,26
2025-09-28,P01,Beras Premium 5kg,22
2025-09-28,P02,Minyak Goreng 1L,18
2025-09-28,P03,Gula Pasir 1kg,12
2025-09-28,P04,Telur Ayam 1 Papan,26
2025-09-28,P05,Mie Instan 1 Dus,31
2025-09-29,P01,Beras Premium 5kg,20
2025-09-29,P02,Minyak Goreng 1L,15
2025-09-29,P03,Gula Pasir 1kg,12
2025-09-29,P04,Telur Ayam 1 Papan,19
2025-09-29,P05,Mie Instan 1 Dus,23
2025-09-30,P01,Beras Premium 5kg,19
2025-09-30,P02,Minyak Goreng 1L,16
2025-09-30,P03,Gula Pasir 1kg,11
2025-09-30,P04,Telur Ayam 1 Papan,18
2025-09-30,P05,Mie Instan 1 Dus,24
2025-10-01,P01,Beras Premium 5kg,17
2025-10-01,P02,Minyak Goreng 1L,14
2025-10-01,P03,Gula Pasir 1kg,11
2025-10-01,P04,Telur Ayam 1 Papan,21
2025-10-01,P05,Mie Instan 1 Dus,25
2025-10-02,P01,Beras Premium 5kg,18
2025-10-02,P02,Minyak Goreng 1L,15
2025-10-02,P03,Gula Pasir 1kg,14
2025-10-02,P04,Telur Ayam 1 Papan,20
2025-10-02,P05,Mie Instan 1 Dus,22
2025-10-03,P01,Beras Premium 5kg,17
2025-10-03,P02,Minyak Goreng 1L,16
2025-10-03,P03,Gula Pasir 1kg,13
2025-10-03,P04,Telur Ayam 1 Papan,18
2025-10-03,P05,Mie Instan 1 Dus,25
2025-10-04,P01,Beras Premium 5kg,23
2025-10-04,P02,Minyak Goreng 1L,18
2025-10-04,P03,Gula Pasir 1kg,12
2025-10-04,P04,Telur Ayam 1 Papan,23
2025-10-04,P05,Mie Instan 1 Dus,28
2025-10-05,P01,Beras Premium 5kg,19
2025-10-05,P02,Minyak Goreng 1L,19
2025-10-05,P03,Gula Pasir 1kg,13
2025-10-05,P04,Telur Ayam 1 Papan,25
2025-10-05,P05,Mie Instan 1 Dus,31
2025-10-06,P01,Beras Premium 5kg,19
2025-10-06,P02,Minyak Goreng 1L,15
2025-10-06,P03,Gula Pasir 1kg,11
2025-10-06,P04,Telur Ayam 1 Papan,21
2025-10-06,P05,Mie Instan 1 Dus,28
2025-10-07,P01,Beras Premium 5kg,17
2025-10-07,P02,Minyak Goreng 1L,14
2025-10-07,P03,Gula Pasir 1kg,12
2025-10-07,P04,Telur Ayam 1 Papan,22
2025-10-07,P05,Mie Instan 1 Dus,22
2025-10-08,P01,Beras Premium 5kg,19
2025-10-08,P02,Minyak Goreng 1L,14
2025-10-08,P03,Gula Pasir 1kg,11
2025-10-08,P04,Telur Ayam 1 Papan,19
2025-10-08,P05,Mie Instan 1 Dus,25
2025-10-09,P01,Beras Premium 5kg,20
2025-10-09,P02,Minyak Goreng 1L,16
2025-10-09,P03,Gula Pasir 1kg,11
2025-10-09,P04,Telur Ayam 1 Papan,19
2025-10-09,P05,Mie Instan 1 Dus,25
2025-10-10,P01,Beras Premium 5kg,16
2025-10-10,P02,Minyak Goreng 1L,16
2025-10-10,P03,Gula Pasir 1kg,12
2025-10-10,P04,Telur Ayam 1 Papan,22
2025-10-10,P05,Mie Instan 1 Dus,27
2025-10-11,P01,Beras Premium 5kg,23
2025-10-11,P02,Minyak Goreng 1L,16
2025-10-11,P03,Gula Pasir 1kg,14
2025-10-11,P04,Telur Ayam 1 Papan,24
2025-10-11,P05,Mie Instan 1 Dus,26
2025-10-12,P01,Beras Premium 5kg,18
2025-10-12,P02,Minyak Goreng 1L,17
2025-10-12,P03,Gula Pasir 1kg,14
2025-10-12,P04,Telur Ayam 1 Papan,25
2025-10-12,P05,Mie Instan 1 Dus,31
2025-10-13,P01,Beras Premium 5kg,16
2025-10-13,P02,Minyak Goreng 1L,14
2025-10-13,P03,Gula Pasir 1kg,13
2025-10-13,P04,Telur Ayam 1 Papan,19
2025-10-13,P05,Mie Instan 1 Dus,23
2025-10-14,P01,Beras Premium 5kg,19
2025-10-14,P02,Minyak Goreng 1L,16
2025-10-14,P03,Gula Pasir 1kg,12
2025-10-14,P04,Telur Ayam 1 Papan,22
2025-10-14,P05,Mie Instan 1 Dus,27
2025-10-15,P01,Beras Premium 5kg,20
2025-10-15,P02,Minyak Goreng 1L,14
2025-10-15,P03,Gula Pasir 1kg,12
2025-10-15,P04,Telur Ayam 1 Papan,23
2025-10-15,P05,Mie Instan 1 Dus,25
2025-10-16,P01,Beras Premium 5kg,19
2025-10-16,P02,Minyak Goreng 1L,16
2025-10-16,P03,Gula Pasir 1kg,13
2025-10-16,P04,Telur Ayam 1 Papan,21
2025-10-16,P05,Mie Instan 1 Dus,24
2025-10-17,P01,Beras Premium 5kg,19
2025-10-17,P02,Minyak Goreng 1L,13
2025-10-17,P03,Gula Pasir 1kg,12
2025-10-17,P04,Telur Ayam 1 Papan,22
2025-10-17,P05,Mie Instan 1 Dus,26
2025-10-18,P01,Beras Premium 5kg,19
2025-10-18,P02,Minyak Goreng 1L,18
2025-10-18,P03,Gula Pasir 1kg,14
2025-10-18,P04,Telur Ayam 1 Papan,23
2025-10-18,P05,Mie Instan 1 Dus,26
2025-10-19,P01,Beras Premium 5kg,21
2025-10-19,P02,Minyak Goreng 1L,19
2025-10-19,P03,Gula Pasir 1kg,13
2025-10-19,P04,Telur Ayam 1 Papan,24
2025-10-19,P05,Mie Instan 1 Dus,26
2025-10-20,P01,Beras Premium 5kg,17
2025-10-20,P02,Minyak Goreng 1L,15
2025-10-20,P03,Gula Pasir 1kg,13
2025-10-20,P04,Telur Ayam 1 Papan,19
2025-10-20,P05,Mie Instan 1 Dus,28
2025-10-21,P01,Beras Premium 5kg,20
2025-10-21,P02,Minyak Goreng 1L,14
2025-10-21,P03,Gula Pasir 1kg,11
2025-10-21,P04,Telur Ayam 1 Papan,21
2025-10-21,P05,Mie Instan 1 Dus,27
2025-10-22,P01,Beras Premium 5kg,20
2025-10-22,P02,Minyak Goreng 1L,16
2025-10-22,P03,Gula Pasir 1kg,13
2025-10-22,P04,Telur Ayam 1 Papan,20
2025-10-22,P05,Mie Instan 1 Dus,23
2025-10-23,P01,Beras Premium 5kg,20
2025-10-23,P02,Minyak Goreng 1L,16
2025-10-23,P03,Gula Pasir 1kg,11
2025-10-23,P04,Telur Ayam 1 Papan,22
2025-10-23,P05,Mie Instan 1 Dus,23
2025-10-24,P01,Beras Premium 5kg,16
2025-10-24,P02,Minyak Goreng 1L,14
2025-10-24,P03,Gula Pasir 1kg,11
2025-10-24,P04,Telur Ayam 1 Papan,20
2025-10-24,P05,Mie Instan 1 Dus,26
2025-10-25,P01,Beras Premium 5kg,21
2025-10-25,P02,Minyak Goreng 1L,18
2025-10-25,P03,Gula Pasir 1kg,13
2025-10-25,P04,Telur Ayam 1 Papan,24
2025-10-25,P05,Mie Instan 1 Dus,32
2025-10-26,P01,Beras Premium 5kg,20
2025-10-26,P02,Minyak Goreng 1L,19
2025-10-26,P03,Gula Pasir 1kg,14
2025-10-26,P04,Telur Ayam 1 Papan,25
2025-10-26,P05,Mie Instan 1 Dus,30
2025-10-27,P01,Beras Premium 5kg,18
2025-10-27,P02,Minyak Goreng 1L,14
2025-10-27,P03,Gula Pasir 1kg,11
2025-10-27,P04,Telur Ayam 1 Papan,18
2025-10-27,P05,Mie Instan 1 Dus,23
2025-10-28,P01,Beras Premium 5kg,19
2025-10-28,P02,Minyak Goreng 1L,16
2025-10-28,P03,Gula Pasir 1kg,13
2025-10-28,P04,Telur Ayam 1 Papan,22
2025-10-28,P05,Mie Instan 1 Dus,25
2025-10-29,P01,Beras Premium 5kg,19
2025-10-29,P02,Minyak Goreng 1L,16
2025-10-29,P03,Gula Pasir 1kg,11
2025-10-29,P04,Telur Ayam 1 Papan,18
2025-10-29,P05,Mie Instan 1 Dus,24
2025-10-30,P01,Beras Premium 5kg,20
2025-10-30,P02,Minyak Goreng 1L,16
2025-10-30,P03,Gula Pasir 1kg,11
2025-10-30,P04,Telur Ayam 1 Papan,22
2025-10-30,P05,Mie Instan 1 Dus,23
2025-10-31,P01,Beras Premium 5kg,17
2025-10-31,P02,Minyak Goreng 1L,14
2025-10-31,P03,Gula Pasir 1kg,13
2025-10-31,P04,Telur Ayam 1 Papan,22
2025-10-31,P05,Mie Instan 1 Dus,23
2025-11-01,P01,Beras Premium 5kg,22
2025-11-01,P02,Minyak Goreng 1L,22
2025-11-01,P03,Gula Pasir 1kg,16
2025-11-01,P04,Telur Ayam 1 Papan,28
2025-11-01,P05,Mie Instan 1 Dus,36
2025-11-02,P01,Beras Premium 5kg,25
2025-11-02,P02,Minyak Goreng 1L,19
2025-11-02,P03,Gula Pasir 1kg,16
2025-11-02,P04,Telur Ayam 1 Papan,28
2025-11-02,P05,Mie Instan 1 Dus,37
2025-11-03,P01,Beras Premium 5kg,21
2025-11-03,P02,Minyak Goreng 1L,16
2025-11-03,P03,Gula Pasir 1kg,13
2025-11-03,P04,Telur Ayam 1 Papan,23
2025-11-03,P05,Mie Instan 1 Dus,33
2025-11-04,P01,Beras Premium 5kg,21
2025-11-04,P02,Minyak Goreng 1L,18
2025-11-04,P03,Gula Pasir 1kg,14
2025-11-04,P04,Telur Ayam 1 Papan,26
2025-11-04,P05,Mie Instan 1 Dus,32
2025-11-05,P01,Beras Premium 5kg,20
2025-11-05,P02,Minyak Goreng 1L,19
2025-11-05,P03,Gula Pasir 1kg,15
2025-11-05,P04,Telur Ayam 1 Papan,26
2025-11-05,P05,Mie Instan 1 Dus,27
2025-11-06,P01,Beras Premium 5kg,22
2025-11-06,P02,Minyak Goreng 1L,17
2025-11-06,P03,Gula Pasir 1kg,15
2025-11-06,P04,Telur Ayam 1 Papan,26
2025-11-06,P05,Mie Instan 1 Dus,29
2025-11-07,P01,Beras Premium 5kg,22
2025-11-07,P02,Minyak Goreng 1L,17
2025-11-07,P03,Gula Pasir 1kg,16
2025-11-07,P04,Telur Ayam 1 Papan,26
2025-11-07,P05,Mie Instan 1 Dus,27
2025-11-08,P01,Beras Premium 5kg,22
2025-11-08,P02,Minyak Goreng 1L,21
2025-11-08,P03,Gula Pasir 1kg,16
2025-11-08,P04,Telur Ayam 1 Papan,24
2025-11-08,P05,Mie Instan 1 Dus,36
2025-11-09,P01,Beras Premium 5kg,23
2025-11-09,P02,Minyak Goreng 1L,21
2025-11-09,P03,Gula Pasir 1kg,15
2025-11-09,P04,Telur Ayam 1 Papan,29
2025-11-09,P05,Mie Instan 1 Dus,37
2025-11-10,P01,Beras Premium 5kg,23
2025-11-10,P02,Minyak Goreng 1L,20
2025-11-10,P03,Gula Pasir 1kg,15
2025-11-10,P04,Telur Ayam 1 Papan,23
2025-11-10,P05,Mie Instan 1 Dus,28
2025-11-11,P01,Beras Premium 5kg,22
2025-11-11,P02,Minyak Goreng 1L,20
2025-11-11,P03,Gula Pasir 1kg,15
2025-11-11,P04,Telur Ayam 1 Papan,22
2025-11-11,P05,Mie Instan 1 Dus,27
2025-11-12,P01,Beras Premium 5kg,20
2025-11-12,P02,Minyak Goreng 1L,19
2025-11-12,P03,Gula Pasir 1kg,13
2025-11-12,P04,Telur Ayam 1 Papan,25
2025-11-12,P05,Mie Instan 1 Dus,31
2025-11-13,P01,Beras Premium 5kg,21
2025-11-13,P02,Minyak Goreng 1L,18
2025-11-13,P03,Gula Pasir 1kg,14
2025-11-13,P04,Telur Ayam 1 Papan,23
2025-11-13,P05,Mie Instan 1 Dus,28
2025-11-14,P01,Beras Premium 5kg,22
2025-11-14,P02,Minyak Goreng 1L,19
2025-11-14,P03,Gula Pasir 1kg,15
2025-11-14,P04,Telur Ayam 1 Papan,27
2025-11-14,P05,Mie Instan 1 Dus,33
2025-11-15,P01,Beras Premium 5kg,27
2025-11-15,P02,Minyak Goreng 1L,21
2025-11-15,P03,Gula Pasir 1kg,15
2025-11-15,P04,Telur Ayam 1 Papan,29
2025-11-15,P05,Mie Instan 1 Dus,38
2025-11-16,P01,Beras Premium 5kg,25
2025-11-16,P02,Minyak Goreng 1L,20
2025-11-16,P03,Gula Pasir 1kg,17
2025-11-16,P04,Telur Ayam 1 Papan,28
2025-11-16,P05,Mie Instan 1 Dus,37
2025-11-17,P01,Beras Premium 5kg,22
2025-11-17,P02,Minyak Goreng 1L,17
2025-11-17,P03,Gula Pasir 1kg,15
2025-11-17,P04,Telur Ayam 1 Papan,24
2025-11-17,P05,Mie Instan 1 Dus,31
2025-11-18,P01,Beras Premium 5kg,21
2025-11-18,P02,Minyak Goreng 1L,18
2025-11-18,P03,Gula Pasir 1kg,15
2025-11-18,P04,Telur Ayam 1 Papan,25
2025-11-18,P05,Mie Instan 1 Dus,32
2025-11-19,P01,Beras Premium 5kg,21
2025-11-19,P02,Minyak Goreng 1L,17
2025-11-19,P03,Gula Pasir 1kg,14
2025-11-19,P04,Telur Ayam 1 Papan,25
2025-11-19,P05,Mie Instan 1 Dus,30
2025-11-20,P01,Beras Premium 5kg,21
2025-11-20,P02,Minyak Goreng 1L,18
2025-11-20,P03,Gula Pasir 1kg,13
2025-11-20,P04,Telur Ayam 1 Papan,22
2025-11-20,P05,Mie Instan 1 Dus,31
2025-11-21,P01,Beras Premium 5kg,19
2025-11-21,P02,Minyak Goreng 1L,18
2025-11-21,P03,Gula Pasir 1kg,16
2025-11-21,P04,Telur Ayam 1 Papan,24
2025-11-21,P05,Mie Instan 1 Dus,32
2025-11-22,P01,Beras Premium 5kg,26
2025-11-22,P02,Minyak Goreng 1L,21
2025-11-22,P03,Gula Pasir 1kg,17
2025-11-22,P04,Telur Ayam 1 Papan,26
2025-11-22,P05,Mie Instan 1 Dus,36
2025-11-23,P01,Beras Premium 5kg,25
2025-11-23,P02,Minyak Goreng 1L,20
